type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_format,len,first_word,data,label
CSI_DATA,245723,2c:30:33:d3:61:c3,-85,11,1,1,0,1,1,0,1,0,0,-97,0,11,0,-1779987464,0,100,1,128,1,"[100,-64,5,0,-10,-19,-12,-14,-11,-12,-13,-12,-13,-10,-12,-6,-13,-1,-14,3,-14,2,-13,-2,-8,-3,-3,-3,-2,-5,-1,-8,0,-9,2,-9,4,-11,6,-12,6,-12,4,-13,3,-12,5,-9,5,-5,5,-5,4,-7,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-4,-21,-17,-18,-20,-15,-23,-13,-24,-10,-22,-7,-21,-4,-22,-2,-21,-1,-22,1,-25,4,-22,8,-18,12,-18,16,-21,18,-25,17,-28,18,-28,18,-28,17,-29,16,-32,16,-33,14,-32,11,-32,9,-33,7,-32,6,-31]",empty
CSI_DATA,245724,2c:30:33:d3:61:c3,-85,11,1,1,0,1,1,0,1,0,0,-97,0,11,0,-1779980136,0,100,1,128,1,"[100,-64,5,0,1,21,3,17,5,13,8,11,11,10,12,8,13,6,13,4,13,3,12,2,11,2,10,2,7,2,3,2,0,2,-2,5,-5,9,-6,8,-6,7,-7,5,-6,4,-4,4,-3,5,-5,4,-8,0,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,17,15,14,16,10,16,8,16,7,17,3,18,-2,18,-6,21,-8,20,-10,17,-13,17,-17,21,-16,22,-15,20,-17,19,-20,20,-22,21,-25,22,-24,24,-21,24,-18,23,-17,24,-17,27,-13,30,-9,29,-8,27]",empty
CSI_DATA,245725,2c:30:33:d3:61:c3,-83,11,1,1,0,1,1,0,1,0,0,-97,0,11,0,-1779973465,0,100,1,128,1,"[100,-64,5,0,-18,-12,-18,-6,-20,-3,-20,-1,-16,1,-12,1,-10,1,-10,5,-9,9,-7,6,-6,2,-6,0,-5,0,-6,-1,-5,-2,-2,-1,-1,-3,-2,-6,-4,-9,-1,-9,1,-9,-1,-8,-2,-10,1,-10,4,-8,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1,-21,3,-20,-1,-20,-4,-20,-7,-19,-9,-16,-10,-13,-13,-12,-16,-12,-19,-10,-21,-8,-22,-8,-26,-5,-28,-4,-28,-3,-29,-1,-30,1,-29,-1,-29,-5,-31,-6,-32,-7,-32,-10,-32,-12,-31,-12,-29,-15,-29,-18,-29]",empty
CSI_DATA,245726,2c:30:33:d3:61:c3,-84,11,1,1,0,1,1,0,1,0,0,-97,0,11,0,-1779966135,0,100,1,128,1,"[100,-64,5,0,21,3,21,2,18,2,14,-3,11,-6,11,-9,11,-10,9,-8,9,-7,10,-9,7,-9,6,-7,7,-4,6,-1,5,2,3,6,1,9,1,12,2,11,1,8,0,7,-1,10,-3,10,-3,7,-1,5,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-4,19,-14,21,-14,20,-13,20,-9,20,-4,19,-1,19,1,19,2,20,5,20,8,18,10,16,10,14,13,14,20,13,23,12,24,14,26,15,28,14,26,16,23,18,25,21,25,21,22,20,21,21,19,23,15]",empty
CSI_DATA,245727,2c:30:33:d3:61:c3,-86,11,1,1,0,1,1,0,1,0,0,-97,0,11,0,-1779959575,0,100,1,128,1,"[100,-64,5,0,-12,-16,-13,-13,-15,-8,-17,-6,-16,-5,-12,-1,-8,1,-8,2,-11,5,-10,7,-8,7,-8,5,-6,1,-6,-3,-8,-5,-6,-5,-4,-6,-1,-10,2,-13,3,-13,2,-14,0,-13,-1,-11,-2,-8,0,-8,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-13,-16,-13,-19,-10,-21,-7,-22,-5,-22,-4,-20,-2,-20,0,-20,2,-19,4,-20,7,-22,9,-21,12,-23,12,-25,12,-27,13,-27,15,-28,16,-30,14,-30,13,-30,12,-31,9,-31,4,-29,-1,-29,-1,-30,2,-29]",empty
CSI_DATA,245728,2c:30:33:d3:61:c3,-85,11,1,1,0,1,1,0,1,0,0,-97,0,11,0,-1779952426,0,100,1,128,1,"[100,-64,5,0,2,-19,-1,-17,-5,-17,-9,-16,-10,-12,-9,-8,-9,-5,-9,-3,-9,-3,-9,-4,-8,-6,-6,-7,-3,-5,0,-4,2,-3,3,-6,6,-10,8,-9,9,-8,11,-8,11,-5,9,-5,8,-7,7,-5,4,-3,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-6,-9,-23,-8,-23,-7,-21,-3,-20,2,-22,3,-23,3,-22,6,-21,7,-19,9,-17,12,-17,15,-15,17,-14,19,-11,20,-10,23,-13,25,-13,26,-12,26,-13,24,-16,23,-19,21,-21,18,-21,16,-22,15,-23,13,-25]",empty
CSI_DATA,245729,2c:30:33:d3:61:c3,-85,11,1,1,0,1,1,0,1,0,0,-97,0,11,0,-1779944953,0,100,1,128,1,"[100,-64,5,0,-1,-21,-5,-16,-8,-12,-9,-10,-10,-9,-11,-7,-11,-5,-11,-2,-11,-1,-10,-3,-5,-6,-3,-6,-1,-4,2,-5,4,-6,4,-5,2,-7,2,-10,4,-8,4,-4,4,-6,6,-10,5,-10,6,-9,7,-7,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-19,-18,-16,-19,-13,-18,-10,-16,-7,-15,-5,-17,-2,-19,2,-21,5,-21,6,-22,6,-22,8,-21,10,-20,14,-20,19,-22,20,-22,20,-19,22,-21,23,-26,21,-26,20,-26,17,-27,12,-30,9,-31,7,-30,8,-27]",empty
CSI_DATA,245730,2c:30:33:d3:61:c3,-86,11,1,1,0,1,1,0,1,0,0,-97,0,11,0,-1779937843,0,100,1,128,1,"[100,-64,5,0,9,-11,8,-13,3,-13,-4,-11,-7,-12,-6,-15,-6,-13,-7,-11,-6,-10,-4,-9,-1,-6,0,-4,-2,-5,-1,-5,2,-3,6,-4,9,-3,11,-1,12,0,10,0,9,0,10,1,11,1,8,0,4,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,3,-24,2,-23,5,-18,10,-17,14,-18,14,-16,13,-14,13,-13,16,-10,20,-8,21,-6,21,-3,22,-1,24,0,25,1,27,0,29,0,29,1,29,2,29,2,29,-2,30,-6,30,-7,27,-10,26,-14,27,-16]",empty
CSI_DATA,245731,2c:30:33:d3:61:c3,-86,11,1,1,0,1,1,0,1,0,0,-97,0,11,0,-1779931046,0,100,1,128,1,"[100,-64,5,0,-11,11,-8,12,-5,14,-3,14,-2,13,-2,13,-2,11,0,8,6,8,8,8,3,7,-1,6,-3,3,-5,3,-6,3,-7,-1,-8,-5,-9,-5,-8,-6,-10,-8,-12,-10,-12,-11,-10,-10,-7,-6,-6,-4,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,22,3,21,2,20,1,22,-3,21,-8,17,-9,17,-9,16,-11,13,-13,12,-14,9,-16,7,-20,7,-23,5,-26,1,-27,-2,-28,-2,-30,0,-31,0,-31,1,-31,6,-31,6,-28,6,-27,9,-27,13,-26,16]",empty
CSI_DATA,245732,2c:30:33:d3:61:c3,-85,11,1,1,0,1,1,0,1,0,0,-97,0,11,0,-1779924097,0,100,1,128,1,"[100,-64,5,0,-15,-14,-19,-10,-18,-8,-16,-5,-15,0,-11,2,-11,2,-13,2,-11,1,-9,-1,-10,0,-6,1,-2,0,-2,-3,-2,-7,2,-7,4,-6,4,-6,4,-7,5,-9,6,-8,8,-5,7,-4,6,-2,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,3,-17,10,-18,6,-19,4,-18,1,-15,-1,-14,-3,-15,-6,-15,-10,-12,-12,-10,-15,-8,-18,-6,-20,-4,-24,-3,-26,-3,-25,-5,-26,-5,-29,-4,-32,-5,-34,-6,-33,-5,-32,-5,-30,-8,-27,-10,-24,-11,-25,-15,-25]",empty
